
301—350,Oregon State UniversityUnited States,"23,464",16.3,10%,46 : 54
301—350,University of PaduaItaly,"62,267",19.1,4%,55 : 45
301—350,University of PaviaItaly,"22,010",38.7,7%,57 : 43
301—350,Royal Veterinary CollegeUnited Kingdom,"1,802",10.3,18%,76 : 24
301—350,Sabancı UniversityTurkeyExplore,"2,999",17.7,8%,39 : 61
301—350,Saint Louis UniversityUnited States,"11,919",5.7,8%,58 : 42
301—350,University of StirlingUnited KingdomExplore,"8,028",15.1,20%,61 : 39
301—350,University of StrasbourgFrance,"43,709",17.2,19%,58 : 42
301—350,Swansea UniversityUnited Kingdom,"13,048",16.5,21%,48 : 52
301—350,University of TartuEstonia,"9,464",12.2,4%,66 : 34
301—350,University of TasmaniaAustraliaExplore,"14,838",19.7,18%,58 : 42
301—350,TU Dortmund UniversityGermany,"30,998",100.3,10%,46 : 54
301—350,Technion Israel Institute of TechnologyIsrael,"13,926",19.8,4%,35 : 65
301—350,Temple UniversityUnited States,"33,672",13.3,6%,52 : 48
301—350,University of TurkuFinland,"12,167",15.9,5%,62 : 38
301—350,University of VictoriaCanada,"18,028",22.0,12%,57 : 43
301—350,Vrije Universiteit BrusselBelgium,"12,484",21.8,21%,54 : 46
301—350,York UniversityCanadaExplore,"46,565",40.8,22%,58 : 42
351—400,Aston UniversityUnited Kingdom,"8,563",16.4,32%,48 : 52
351—400,Bilkent UniversityTurkeyExplore,"9,761",14.1,4%,46 : 54
351—400,"Binghamton University, State University of New YorkUnited States","16,628",23.7,14%,48 : 52
351—400,University of CalabriaItaly,"30,219",36.4,3%,59 : 41
351—400,University of CanterburyNew Zealand,"11,943",16.4,20%,50 : 50
351—400,"City, University of LondonUnited KingdomExplore","12,489",16.1,49%,54 : 46
351—400,Claude Bernard University Lyon 1France,"35,944",17.2,8%,50 : 50
351—400,University College CorkIreland,"15,877",22.4,16%,56 : 44
351—400,University of CyprusCyprus,"7,025",22.5,8%,69 : 31
351—400,Drexel UniversityUnited States,"21,153",11.0,18%,49 : 51
351—400,University of Eastern FinlandFinland,"11,098",17.7,6%,63 : 37
351—400,Flinders UniversityAustraliaExplore,"16,465",23.6,16%,63 : 37
351—400,Graz University of TechnologyAustria,"6,312",10.1,16%,23 : 77
351—400,University of GuelphCanada,"21,547",28.4,4%,60 : 40
351—400,Hanyang UniversitySouth KoreaExplore,"21,629",14.1,15%,n/a
351—400,Hong Kong Baptist UniversityHong KongExplore,"11,038",11.1,29%,62 : 38
351—400,University of HoustonUnited States,"39,402",42.5,9%,50 : 50
351—400,ITMO UniversityRussian Federation,"11,875",10.4,10%,n/a
351—400,Indian Institute of Technology BombayIndia,"9,207",16.3,1%,17 : 83
