rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
148,University of Cape TownSouth Africa,20061,11.6,17%,53 : 47,55.3,32.4,37.2,87.3,88.8,80.1
149,University of SussexUnited Kingdom,12293,15.8,35%,55 : 45,55.1,32.6,37.9,88.1,33.7,88.8
150,Indiana UniversityUnited States,66057,14.2,14%,52 : 48,55,46.4,40.2,82.1,35.2,47
151,University of LausanneSwitzerland,12647,13.5,24%,n/a,54.9,31.8,46.6,75.6,76.1,90.1
151,University of RochesterUnited States,9628,4.5,28%,51 : 49,54.9,43.4,32.4,89.4,38.9,58.9
153,University of Science and Technology of ChinaChina,14827,8.1,3%,n/a,54.7,51.8,43.4,74.7,77.6,24.2
153,University of TwenteNetherlandsExplore,6583,12.5,28%,36 : 64,54.7,36.8,46.7,70.8,84.6,83.6
155,Fudan UniversityChina,32449,12.1,11%,50 : 50,54.6,55.3,47,65.7,53.2,37.5
156,University of ArizonaUnited States,37023,12.8,9%,52 : 48,54.5,42.9,42.2,83.2,35.6,41.7
156,Vrije Universiteit AmsterdamNetherlands,24592,15.5,7%,56 : 44,54.5,33.1,40.2,89.4,50.3,58.9
158,University of LiverpoolUnited KingdomExplore,19085,11.7,34%,53 : 47,54.3,35.1,35.2,85.7,37.4,87.7
159,KTH Royal Institute of TechnologySweden,12841,15.9,17%,31 : 69,54.1,42.5,45.3,67.4,51.1,83.3
160,University of Erlangen-NurembergGermany,37882,55.4,9%,49 : 51,54,38.7,43.6,77.3,96,49.1
161,University of MünsterGermany,41807,42.4,6%,53 : 47,53.9,40.8,38.3,84.4,62.6,44.3
161,University of ViennaAustria,34711,20.3,26%,67 : 33,53.9,41.1,46.6,65.9,33.5,93
163,Autonomous University of BarcelonaSpainExplore,31095,12.4,11%,59 : 41,53.7,39.4,36.4,86.7,39.9,52.3
164,TU DresdenGermany,35468,36.3,12%,42 : 58,53.5,42.3,45.6,70.2,95.7,49.4
165,University of AucklandNew ZealandExplore,30287,18.9,29%,54 : 46,53.4,32.8,40.8,75.8,70.5,90.5
165,"University of California, RiversideUnited States",20901,22.6,13%,51 : 49,53.4,32,33.7,93.4,40.5,62.2
165,University of East AngliaUnited Kingdom,13997,13.9,28%,58 : 42,53.4,30.7,31.1,92.4,32.4,84.3
165,University of MassachusettsUnited States,58624,13.1,13%,49 : 51,53.4,40.4,34.8,85.6,50.2,51.5
169,Texas A&M UniversityUnited States,53694,22.1,9%,47 : 53,53.2,53.1,57,50.7,46.9,50.1
170,University of CologneGermany,44882,41.3,11%,61 : 39,53.1,40.2,38.3,79.2,64.3,55.9
170,University of GothenburgSweden,17761,10.6,12%,n/a,53.1,30.3,40.5,87.9,39.9,59.6
172,University of LeicesterUnited Kingdom,14179,12.5,36%,53 : 47,53,30.9,32.4,88.4,35.1,87.6
173,"Royal Holloway, University of LondonUnited Kingdom",8551,15.3,38%,58 : 42,52.9,33.3,32.3,84.5,35.7,93
173,University of WaterlooCanadaExplore,31776,24.8,15%,45 : 55,52.9,37.8,44.9,70.8,41,77.5
175,Pompeu Fabra UniversitySpain,10791,20.1,12%,59 : 41,52.8,30.3,33,93.1,40.5,65.1
176,Technical University of DenmarkDenmark,8063,5.7,18%,27 : 73,52.5,38.3,30,80.2,60.6,85.8
177,Eindhoven University of TechnologyNetherlandsExplore,10015,19.4,14%,22 : 78,52.4,36.6,43.5,71.7,56.9,72
