rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
201-250,University of Texas at DallasUnited StatesExplore,16306,22.8,23%,44 : 56,-,24.3,26.7,86.8,41.8,52.3
201-250,Tilburg UniversityNetherlands,7576,22.4,10%,49 : 51,-,34.1,47.1,51.5,57.4,71.6
201-250,Tohoku UniversityJapan,17200,5,7%,25 : 75,-,45.3,42.7,49.4,74.7,29.3
201-250,Tokyo Institute of TechnologyJapanExplore,9586,7.3,13%,13 : 87,-,45.6,47.6,42.2,70.9,31.9
201-250,University of VictoriaCanada,17581,21.5,11%,56 : 44,-,20.6,30,79,36.6,70.2
201-250,Wake Forest UniversityUnited States,7326,4.6,5%,51 : 49,-,34.6,19.5,94.8,42.5,24.2
201-250,Western UniversityCanada,27387,20.7,16%,54 : 46,-,38.6,32.4,59,59.7,73.6
201-250,William & MaryUnited States,7867,11.8,7%,54 : 46,-,38.5,17.5,85,29.1,26.6
201-250,University of the WitwatersrandSouth AfricaExplore,23321,18.6,9%,56 : 44,-,26.2,31.5,76,99.7,68.4
251-300,Aalto UniversityFinland,16099,24.2,17%,32 : 68,-,31.1,32.8,62.1,61.6,65.4
251-300,Aix-Marseille UniversityFrance,71749,45.5,13%,61 : 39,-,36.7,22.1,64.9,33.1,63
251-300,University of BathUnited Kingdom,12830,18.8,30%,46 : 54,-,28.9,27.9,56.7,36.3,84.8
251-300,University of BayreuthGermany,12520,35.5,8%,46 : 54,-,32.2,31.2,60.1,56.4,52.6
251-300,Bielefeld UniversityGermanyExplore,21428,67.8,7%,57 : 43,-,35.2,46.2,49.9,60.9,45.4
251-300,University of BordeauxFranceExplore,51239,19.4,12%,58 : 42,-,25.3,22,71.7,30.6,54.6
251-300,Charles Darwin UniversityAustralia,5570,25.4,15%,67 : 33,-,17.8,22.6,85.9,43.2,63.7
251-300,Colorado School of MinesUnited States,5287,18.2,12%,26 : 74,-,28.5,30.3,71.8,83.7,35.5
251-300,Colorado State UniversityUnited States,26769,19,5%,52 : 48,-,31.6,33,59.3,41,34.5
251-300,University of DelawareUnited States,19262,15.9,10%,56 : 44,-,23.7,34,70,98.7,41.6
251-300,Flinders UniversityAustraliaExplore,15655,22.6,15%,63 : 37,-,21.4,25.7,69.5,41.7,64.7
251-300,University of GeorgiaUnited States,33119,19.9,7%,57 : 43,-,41.1,30.5,52.2,30.9,39.2
251-300,Griffith UniversityAustraliaExplore,30251,22,21%,0 : 100,-,22.5,25.2,66.3,34.6,81.7
251-300,Indian Institute of ScienceIndia,3318,8.2,1%,19 : 81,-,42.7,47.2,42.4,52.4,16.4
251-300,Iowa State UniversityUnited States,29991,17.4,11%,44 : 56,-,31.2,29.4,61.5,54,35.4
251-300,James Cook UniversityAustraliaExplore,11713,21.9,11%,63 : 37,-,19,22.8,81.4,40.7,70.4
251-300,Justus Liebig University GiessenGermany,25682,53.9,9%,62 : 38,-,32.9,33.9,52.9,46.4,46.8
251-300,King Abdulaziz UniversitySaudi ArabiaExplore,35889,8.4,21%,57 : 43,-,23.9,11.8,76.6,73.1,93
251-300,Koç UniversityTurkeyExplore,4488,14.6,8%,52 : 48,-,21.2,27.1,74.9,82.4,53.5
251-300,Korea UniversitySouth KoreaExplore,24043,15.8,14%,n/a,-,43.9,43.4,41.8,99.8,40.2
251-300,University of LiègeBelgium,20951,25.9,23%,54 : 46,-,29.1,36.6,46.5,98.9,69.7
251-300,Linköping UniversitySweden,17866,7.7,10%,52 : 48,-,24.2,18.9,76.8,42.1,57.7
251-300,Nanjing UniversityChina,29743,13.3,10%,46 : 54,-,37.2,32.2,54.2,58.6,50.4
251-300,National Tsing Hua UniversityTaiwan,10221,13.5,5%,33 : 67,-,37.7,36.6,53,49.5,23.2
251-300,"National University of Ireland, GalwayIreland",14067,26.8,14%,56 : 44,-,27.3,25.4,68.5,41.9,76.5
251-300,University of NewcastleAustraliaExplore,23508,21.9,18%,56 : 44,-,27.4,26.5,67.2,64.4,75.9
251-300,North Carolina State UniversityUnited States,30533,13.6,11%,44 : 56,-,36.1,30.5,60,40.7,49
251-300,National Research Nuclear University MEPhIRussian FederationExplore,7801,7.3,7%,29 : 71,-,44.9,27.8,52.8,99.8,27.5
251-300,Oregon State UniversityUnited States,22578,16.8,8%,47 : 53,-,30.6,28.5,63.8,32.1,42.8
251-300,Osaka UniversityJapan,23144,7.8,9%,31 : 69,-,46.8,45.2,37.4,76.1,26.6
251-300,Queen’s UniversityCanadaExplore,20488,22.1,10%,58 : 42,-,35.8,35.8,54.4,54.2,61.6
251-300,Technion Israel Institute of TechnologyIsrael,13855,19.4,4%,35 : 65,-,33,36.1,52.1,38.9,61.9
251-300,Queensland University of TechnologyAustraliaExplore,33391,35.8,17%,54 : 46,-,28.8,35.6,56,73.7,76
251-300,Rensselaer Polytechnic InstituteUnited States,6671,15,16%,30 : 70,-,30.4,31.5,65.1,79.6,40.3
251-300,Royal College of Surgeons in IrelandIrelandExplore,2473,15.6,63%,55 : 45,-,29.9,20.1,65.3,33.9,90.1
251-300,Ruhr University BochumGermany,38675,46.3,13%,48 : 52,-,32.8,30,54.4,66.6,51.7
251-300,Saint Louis UniversityUnited States,11919,5.8,8%,58 : 42,-,36.9,10.9,85,29.9,26.6
251-300,Paris-Sorbonne University – Paris 4France,21580,27.4,21%,69 : 31,-,61,55.8,7.1,28.5,44.2
251-300,Simon Fraser UniversityCanada,26640,28.3,19%,55 : 45,-,23.2,29.2,72.8,42.3,61.4
251-300,University of SurreyUnited KingdomExplore,12063,16.6,38%,55 : 45,-,31.7,28.9,51.2,34.9,90.4
251-300,Syracuse UniversityUnited States,19660,15.9,15%,55 : 45,-,31.4,20.8,77.1,36.3,38.3
251-300,University of TasmaniaAustraliaExplore,18340,23.8,21%,57 : 43,-,21.8,25.7,68,42.7,79.1
251-300,"University of Tennessee, KnoxvilleUnited States",24716,17,5%,n/a,-,29.5,23.2,81.4,41.3,39.3
251-300,Tomsk Polytechnic UniversityRussian FederationExplore,11902,6.9,17%,39 : 61,-,31.6,15.1,82.4,60.2,32.7
251-300,Tulane UniversityUnited States,11381,8.4,8%,56 : 44,-,39.1,19.3,67.8,32.4,35.3
251-300,Umeå UniversitySweden,16667,11.9,7%,60 : 40,-,20.8,25,74.5,31.1,56.1
251-300,Vienna University of TechnologyAustria,26419,52,27%,27 : 73,-,34.1,32,54.6,86.5,77.3
251-300,Virginia Polytechnic Institute and State UniversityUnited States,30850,18.6,10%,42 : 58,-,34.9,38.2,54.2,43.3,29.5
251-300,University of WollongongAustralia,16489,25.4,24%,50 : 50,-,25.8,28.4,59.3,57.9,86.8
251-300,Zhejiang UniversityChinaExplore,47508,15.9,4%,41 : 59,-,44.3,46,36.1,96.2,19.6
301-350,Aberystwyth UniversityUnited Kingdom,9252,19.2,18%,48 : 52,-,21.6,18.9,67.2,31.3,72.2
301-350,University of Alaska FairbanksUnited States,3837,8.2,7%,53 : 47,-,25.1,23.1,63,51.2,53.5
301-350,Autonomous University of MadridSpainExplore,28296,13,15%,56 : 44,-,35.6,30.9,46.9,33,48.6
301-350,Bangor UniversityUnited Kingdom,9567,19.5,22%,55 : 45,-,22.6,22.1,65.4,31,81.3
301-350,University of BremenGermany,18590,25.6,11%,50 : 50,-,30.9,32.7,50,46,50
301-350,University of CincinnatiUnited States,36108,15.7,6%,54 : 46,-,31.3,20.4,72.1,35.3,28.3
301-350,University of ConnecticutUnited States,25742,13,11%,51 : 49,-,35.9,25.6,57,30.9,43.1
301-350,Deakin UniversityAustraliaExplore,32713,30.4,17%,60 : 40,-,22.4,21.9,66.8,30,76.9
301-350,University of EssexUnited Kingdom,12695,19.8,39%,55 : 45,-,33.9,33.3,38.6,28.9,93.7
301-350,George Mason UniversityUnited States,26622,17,7%,54 : 46,-,29.6,21.2,64.9,29.1,36.9
301-350,University of GreifswaldGermany,10931,24,6%,55 : 45,-,30.1,23.5,61.3,32.6,41.7
301-350,Gwangju Institute of Science and TechnologySouth Korea,1394,9.6,8%,25 : 75,-,35.2,42,43.7,45.2,36.2
301-350,University of HohenheimGermany,9163,41.2,13%,56 : 44,-,30.9,33.8,51.5,52.8,50.3
301-350,University of InnsbruckAustria,18209,16.9,39%,54 : 46,-,23.6,16.9,67.3,39.9,95.7
301-350,Kazan Federal UniversityRussian Federation,23321,12.2,6%,69 : 31,-,21.9,12.3,87.5,42.4,25.5
301-350,University of KentUnited KingdomExplore,17638,14.4,27%,53 : 47,-,24.6,19.1,60.9,28.8,87.2
301-350,Leibniz University of HanoverGermany,22401,62.7,12%,41 : 59,-,36.5,36.9,39,69.6,43.2
301-350,Macquarie UniversityAustraliaExplore,27930,20,44%,55 : 45,-,28.5,27.2,52.3,33.1,90
301-350,Medical College of WisconsinUnited States,1211,0.6,5%,48 : 52,-,25.4,12.1,85.2,31.8,30.4
301-350,University of MilanItaly,58618,24.3,5%,60 : 40,-,30.5,24.2,64.8,40.9,37.7
301-350,University of Milan-BicoccaItaly,33370,72.5,5%,60 : 40,-,24.3,25.5,65.8,46.6,34.3
301-350,Montpellier UniversityFrance,36731,18.4,14%,51 : 49,-,38.7,16.7,59.5,31.9,54.4
301-350,Nagoya UniversityJapan,15529,7.9,10%,29 : 71,-,40.8,38.9,40.1,91.4,27.4
301-350,University of Naples Federico IIItaly,83653,64.2,1%,n/a,-,24.7,14.8,81.3,47.4,21.1
301-350,National Chiao Tung UniversityTaiwan,12646,16.6,5%,27 : 73,-,32.9,45.4,34.2,96.9,32
301-350,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanExplore,7446,17.4,11%,34 : 66,-,31.7,43.1,39.1,92.2,30.5
301-350,University of NavarraSpain,11259,10.6,16%,52 : 48,-,31.9,20.8,57.5,63.5,52.6
301-350,University of Nebraska-LincolnUnited StatesExplore,21789,16.4,9%,46 : 54,-,30.1,30.2,53.5,35.6,45.8
301-350,Örebro UniversitySweden,8788,15.8,2%,61 : 39,-,18.3,10.4,87.8,29.8,39.4
301-350,University of OregonUnited States,24418,20.2,11%,52 : 48,-,21.2,22.7,72.6,30.8,33.5
301-350,University of PaduaItaly,62577,18.3,4%,56 : 44,-,25.7,22.6,74.6,32.6,37.9
301-350,University of PaviaItaly,22958,40.6,6%,56 : 44,-,25,22.5,65.1,69.4,40.5
301-350,Plymouth UniversityUnited Kingdom,24121,25.9,13%,52 : 48,-,19.3,18,75.2,28.5,64
301-350,Shanghai Jiao Tong UniversityChina,38191,12.8,6%,37 : 63,-,37.8,45.2,34,92.9,27.5
301-350,University of Southern DenmarkDenmark,22210,12.7,16%,52 : 48,-,19.2,14.7,79.7,28,71.8
301-350,Stellenbosch UniversitySouth Africa,21849,23,8%,53 : 47,-,28.2,35,46.9,100,49.8
301-350,University of StrasbourgFrance,46208,17.8,21%,58 : 42,-,25.5,23.4,64.4,32.8,71.6
301-350,TU Dortmund UniversityGermany,29143,88.9,10%,47 : 53,-,34.2,29.8,55.3,48.6,40.8
301-350,Toulouse 1 Capitole UniversityFrance,19011,43.8,19%,59 : 41,-,18.6,35.7,56.3,32.5,66.7
301-350,University of TriesteItaly,18135,25.8,9%,56 : 44,-,26.5,18.5,74.1,32.3,47.3
301-350,University of TurinItaly,67552,66,6%,62 : 38,-,27.4,22.3,67.5,54.2,38.8
301-350,University of TurkuFinland,12326,14.6,5%,61 : 39,-,27.1,21.2,65.8,31.2,66.2
301-350,Vrije Universiteit BrusselBelgium,9020,17.1,16%,55 : 45,-,28.7,24.5,56.8,77.1,64.5
301-350,VŠB - Technical University of OstravaCzech RepublicExplore,14991,23.9,5%,49 : 51,-,18.8,15.7,85.5,32.1,22.3
301-350,Yonsei UniversitySouth Korea,24774,11.6,14%,n/a,-,37.2,34.1,39.4,75.9,41.5
301-350,York UniversityCanadaExplore,48007,39.4,9%,59 : 41,-,30.2,30.8,49.1,33.2,58.2
351-400,"Binghamton University, State University of New YorkUnited States",15799,23.3,13%,48 : 52,-,22.7,17.4,62,34,53.6
351-400,University of CreteGreece,14650,26.9,5%,63 : 37,-,18.6,19.2,73.6,34.5,47
351-400,University of CyprusCyprus,6880,22.9,8%,69 : 31,-,18,28.5,56.7,30,74.7
351-400,Drexel UniversityUnited States,20713,10.8,17%,48 : 52,-,31.2,14.6,57.7,36.3,46.3
351-400,University of Eastern FinlandFinland,10798,17.3,6%,64 : 36,-,24.8,20.7,65.1,33.3,46.1
351-400,University of FlorenceItaly,54290,17.2,7%,59 : 41,-,21.7,20.4,72.1,35.9,38.5
351-400,University of St GallenSwitzerland,6848,10.8,34%,32 : 68,-,25.8,11.2,53.5,41.8,97.6
351-400,Graz University of TechnologyAustria,7542,12.5,16%,22 : 78,-,26,15.8,52.9,77.2,69.3
351-400,University of GuelphCanada,21643,28.3,4%,60 : 40,-,28,34.2,44.4,47.4,53.6
351-400,Hanyang UniversitySouth KoreaExplore,16729,10.4,19%,n/a,-,33.9,32.6,31.1,87.9,54.3
351-400,Hong Kong Baptist UniversityHong KongExplore,10441,11,25%,61 : 39,-,22.6,12.1,67.9,28.8,75
351-400,University of HoustonUnited States,40325,43.7,9%,50 : 50,-,34.9,26.5,52,42.3,33.9
351-400,Indian Institute of Technology BombayIndia,8327,14.9,1%,16 : 84,-,37.8,28.6,48.5,42.3,17.7
351-400,Instituto Superior Técnico LisboaPortugal,11778,16.9,9%,27 : 73,-,22.2,25,59.8,38.8,43.7
351-400,University of JyväskyläFinland,9703,15.2,5%,62 : 38,-,28.2,25.5,55.5,34.2,47.1
351-400,La Trobe UniversityAustraliaExplore,22037,29,27%,63 : 37,-,27,28.5,45.4,43.7,78
351-400,Loughborough UniversityUnited Kingdom,13951,15.9,22%,38 : 62,-,31.2,32.2,41.3,36.6,72.9
351-400,University of ManitobaCanada,28576,27.8,11%,55 : 45,-,27.1,26.9,49.7,41.8,57.8
351-400,University of MissouriUnited States,29885,14.1,5%,53 : 47,-,31.2,21,60.2,31.1,31
351-400,University of Modena and Reggio EmiliaItaly,19693,25.3,6%,54 : 46,-,18.7,15.6,72.9,32.3,34.2
351-400,University of MontanaUnited States,12470,15.2,3%,54 : 46,-,30.8,13.6,65.5,31,21.5
351-400,Maynooth UniversityIrelandExplore,7653,28,11%,55 : 45,-,24.6,22.8,50.2,36.6,75.6
351-400,University of Nebraska Medical CenterUnited States,2857,2.6,8%,67 : 33,-,37,13.3,64.4,33.6,37.7
351-400,University of New MexicoUnited States,23618,6.5,4%,67 : 33,-,25.6,15.4,74.5,37,28.6
351-400,Norwegian University of Science and TechnologyNorway,17381,13.9,9%,46 : 54,-,16.3,25.8,59.8,51.8,59.9
351-400,University of OuluFinland,14056,8.5,6%,49 : 51,-,23.1,15.9,62.3,30.9,56.9
351-400,Panthéon-Sorbonne University – Paris 1France,42215,34.3,20%,59 : 41,-,53.2,47.6,6.8,28.3,47.6
351-400,Polytechnic University of TurinItaly,27709,19.6,16%,29 : 71,-,23.7,18.6,65.9,42.5,50.6
351-400,University of Rome IIIItaly,36353,61.2,5%,59 : 41,-,23.1,21,64.8,37.5,35.9
351-400,Bilkent UniversityTurkeyExplore,9370,13.6,3%,46 : 54,-,23.5,18.6,64.1,36.4,47.5
351-400,Sabancı UniversityTurkeyExplore,2739,15.9,6%,39 : 61,-,22.3,32.3,52.8,70,42.7
351-400,San Diego State UniversityUnited States,27420,31.7,5%,57 : 43,-,20.3,27,62.7,29.3,25.9
351-400,University of South AustraliaAustraliaExplore,18971,26.2,32%,59 : 41,-,26.4,26.7,41.2,85.9,89
351-400,University of South CarolinaUnited States,29336,16.3,1%,55 : 45,-,31.1,21.5,58.7,30.3,24.5
351-400,University of South DakotaUnited States,8003,17.1,2%,61 : 39,-,29.3,12.1,70.4,28,17.1
351-400,State University of CampinasBrazil,27095,15.3,3%,48 : 52,-,44.6,42.3,22.6,49.4,21.1
351-400,University of StirlingUnited KingdomExplore,7828,15.9,22%,61 : 39,-,22.6,23.5,59.1,30.4,77.7
351-400,Sun Yat-sen UniversityChinaExplore,51351,16.6,8%,51 : 49,-,31.9,24.6,45.7,79.4,37
351-400,Swansea UniversityUnited Kingdom,12801,17.1,20%,49 : 51,-,22.2,23.8,58.2,32.7,72.4
351-400,Swinburne University of TechnologyAustralia,20314,36.5,32%,44 : 56,-,21.5,20.2,53.4,32.2,84.8
351-400,University of TartuEstonia,10269,13,3%,66 : 34,-,23.8,22.8,64.2,31.5,46.1
351-400,Temple UniversityUnited States,33268,13.3,5%,51 : 49,-,34,18.2,58.3,41.6,28.6
351-400,University of Texas at San AntonioUnited States,27520,26.9,6%,48 : 52,-,18.1,16.6,74.9,28.6,29.6
351-400,UiT The Arctic University of NorwayNorway,10398,12.2,10%,60 : 40,-,26.5,18.7,58.8,36.8,66.1
351-400,Université Libre de BruxellesBelgium,23819,26.1,32%,54 : 46,-,26.1,28.3,47.9,39.1,84.5
351-400,Lille 2 University – Health and LawFrance,26894,38.5,8%,58 : 42,-,15.1,9.5,81.7,31.5,39.4
351-400,University College CorkIreland,15805,22.3,15%,55 : 45,-,28.6,23.8,48.4,47.1,75.5
351-400,Verona UniversityItalyExplore,25250,19.7,7%,65 : 35,-,23.6,13.1,76.1,36.6,38.3
351-400,Victoria University of WellingtonNew Zealand,17142,21.1,21%,55 : 45,-,26,28.7,44.3,45.6,88.8
351-400,Washington State UniversityUnited States,24550,18.3,7%,50 : 50,-,29,28.2,49.6,57.1,39.6
351-400,Wayne State UniversityUnited States,23065,10.7,6%,57 : 43,-,31.9,14.2,65.3,41.7,29.6
401-500,American UniversityUnited States,11604,12,12%,60 : 40,-,42.2,16.5,41.1,35.9,28.9
401-500,Aston UniversityUnited Kingdom,8834,17.8,31%,48 : 52,-,18.4,20.4,51.9,34.6,92.5
401-500,University of AveiroPortugal,10791,17.8,10%,51 : 49,-,24.8,26.5,43.6,40.1,45.9
401-500,University of Bari Aldo MoroItaly,51560,65.1,2%,65 : 35,-,28.7,21.6,48.8,45.4,31.7
401-500,Bar-Ilan UniversityIsrael,17503,16,5%,59 : 41,-,22.6,21.3,42.3,28.9,49.4
401-500,Makerere UniversityUganda,37340,29.4,9%,50 : 50,-,15.9,11.8,70.7,33.1,58
401-500,Bournemouth UniversityUnited Kingdom,14907,25.9,18%,53 : 47,-,32,12.6,35.2,28.8,70.6
401-500,University of BresciaItaly,14076,25,7%,48 : 52,-,15.6,14.8,72.3,35.8,36.6
401-500,Brno University of TechnologyCzech Republic,23694,21.3,15%,27 : 73,-,18,14.7,55.8,33.7,35.8
401-500,Brunel University LondonUnited Kingdom,12613,17.6,38%,46 : 54,-,24.8,23.3,39.5,34.7,91.8
401-500,Ca’ Foscari University of VeniceItaly,19267,38.3,7%,66 : 34,-,23.9,27.8,48.9,32.3,38.1
401-500,University of CagliariItaly,30638,51,1%,62 : 38,-,19.4,13.2,56.8,33.6,32.6
401-500,University of CanterburyNew Zealand,12187,16.5,20%,51 : 49,-,23.5,22.5,38.9,52.1,91
401-500,Catholic University of the Sacred HeartItaly,30304,18.9,10%,n/a,-,18.6,11.3,55.4,38.7,39
401-500,Charles University in PragueCzech Republic,51438,13,15%,62 : 38,-,31.5,21.5,41,28.2,52.8
401-500,"China Medical University, TaiwanTaiwanExplore",7983,15.4,8%,53 : 47,-,24,29.4,45,60.4,25.7
401-500,"City, University of LondonUnited KingdomExplore",13053,17.8,50%,55 : 45,-,23.5,21.2,43.5,28.9,89.6
401-500,Claude Bernard University Lyon 1France,35308,16.1,11%,50 : 50,-,21.3,13.2,66.5,34.5,50.5
401-500,University of CoimbraPortugal,22795,19,11%,55 : 45,-,28.3,26.5,42.4,34.8,46.2
401-500,Complutense University of MadridSpain,86519,17.5,13%,62 : 38,-,33.2,27.6,31.2,30.9,39.1
401-500,Concordia UniversityCanadaExplore,31017,30.3,27%,50 : 50,-,19.3,23.4,36.4,30.9,77.4
401-500,Curtin UniversityAustraliaExplore,30333,17.1,38%,53 : 47,-,20.1,20.2,44.6,37.8,93.1
401-500,Dublin City UniversityIreland,8546,22.9,17%,51 : 49,-,26.1,25.2,36.3,51.7,76.7
401-500,East China University of Science and TechnologyChina,27140,15.5,5%,n/a,-,24.1,17.1,46.4,64.7,21.7
401-500,Ewha Womans UniversitySouth Korea,17625,14.4,6%,100 : 0,-,23.9,18.3,50.4,57.6,34.3
401-500,Federico Santa María Technical UniversityChileExplore,11718,34,2%,24 : 76,-,17.2,10.1,70.5,35.1,54.1
401-500,University of FerraraItaly,18882,30.2,7%,56 : 44,-,17.7,17.2,63.3,35.9,41.8
401-500,Florida International UniversityUnited States,32566,25.9,7%,56 : 44,-,25.7,18.1,49.4,32.7,32.8
401-500,University of GenoaItaly,37373,29.5,9%,56 : 44,-,27.2,14.2,59.3,42.3,38.8
401-500,Georgia State UniversityUnited States,28534,20.4,5%,59 : 41,-,26.3,19.5,52.9,28.7,29.5
401-500,University of GrazAustria,20584,26.8,12%,65 : 35,-,24.9,16.3,53.3,29.3,68.9
401-500,Heriot-Watt UniversityUnited Kingdom,8773,17.8,43%,41 : 59,-,23.4,22.4,36.4,45.6,90.1
401-500,Hokkaido UniversityJapan,18162,8.2,9%,29 : 71,-,40.3,32.8,29.3,53.7,27.9
401-500,Howard UniversityUnited States,10297,6.8,5%,65 : 35,-,38.8,11,44.5,-,30.3
401-500,University of HullUnited Kingdom,15141,18.7,20%,52 : 48,-,22.4,16.1,41.1,31.8,73.2
401-500,University of IdahoUnited States,11641,21.5,6%,47 : 53,-,28.3,19.4,40.8,32.4,32
401-500,Indian Institute of Technology DelhiIndia,8371,17.3,1%,18 : 82,-,35.8,25.8,33.4,62.8,15.5
401-500,Indian Institute of Technology KharagpurIndia,9928,17.5,n/a,15 : 85,-,33.2,30.5,41.4,31.7,13.3
401-500,Indian Institute of Technology MadrasIndia,8234,15.9,1%,19 : 81,-,34.6,20.7,31.4,88.9,16.1
401-500,University of IoanninaGreece,20825,36.3,4%,58 : 42,-,14.5,17.7,56.4,32.9,36.9
401-500,Iran University of Science and TechnologyIran,10311,23.9,n/a,24 : 76,-,25.9,26,42.3,61.2,12.2
401-500,Johannes Kepler University of LinzAustria,19646,29.1,10%,48 : 52,-,19.2,13.8,51.6,37.4,58.5
401-500,University of KaiserslauternGermany,14184,54.4,14%,36 : 64,-,29.6,22.6,47.5,80.2,44.1
401-500,Keele UniversityUnited Kingdom,8397,15.7,20%,55 : 45,-,20,17.6,53,29.3,72.7
401-500,University of KwaZulu-NatalSouth AfricaExplore,30572,24.9,6%,58 : 42,-,20.3,25.7,41.5,38.2,58.6
401-500,Kyung Hee UniversitySouth KoreaExplore,24356,17.4,14%,n/a,-,26.1,27.6,39.2,89.4,46.4
401-500,Kyushu UniversityJapan,18925,6.7,8%,28 : 72,-,36.5,27.5,31.8,83.2,26.4
401-500,Lehigh UniversityUnited States,6300,11.3,15%,44 : 56,-,23.9,15,58.2,38.9,36
401-500,Louisiana State UniversityUnited States,28116,20.1,5%,52 : 48,-,26.8,27.7,37.8,-,26.1
401-500,University of MacauMacaoExplore,8521,14.9,31%,58 : 42,-,18.5,17,49.7,34.9,98.4
401-500,Marche Polytechnic UniversityItaly,16589,23,4%,45 : 55,-,15.2,11,80.2,28,27.3
401-500,"University of Maryland, Baltimore CountyUnited States",13908,18.1,7%,46 : 54,-,21.3,18.2,61.3,31.7,28.2
401-500,Murdoch UniversityAustraliaExplore,16606,32.8,43%,59 : 41,-,18.7,19.6,51.2,36.5,88.3
401-500,University of NantesFrance,33866,22.2,11%,56 : 44,-,19.6,12.2,69.4,-,35.1
401-500,National and Kapodistrian University of AthensGreece,63052,32.3,9%,61 : 39,-,26.7,16.3,45.8,-,39
401-500,National Autonomous University of MexicoMexico,137378,11.6,5%,51 : 49,-,42.7,40.2,14.8,63.7,35.9
401-500,National Cheng Kung University (NCKU)Taiwan,21234,14.4,11%,36 : 64,-,29.8,40.2,27.2,100,27.7
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon)France,6137,8.2,31%,31 : 69,-,27,10.6,41.8,40.3,63.6
401-500,National Yang-Ming UniversityTaiwan,4496,5.4,2%,48 : 52,-,41.5,18.5,33.3,30.2,15.8
401-500,University of NeuchâtelSwitzerland,4358,8.5,22%,59 : 41,-,24.2,14.7,48.2,-,91.4
401-500,NOVA University of LisbonPortugal,18867,17.9,7%,49 : 51,-,26.9,21.9,38.3,41.3,44.5
401-500,University of Nice Sophia AntipolisFrance,27304,20.3,22%,56 : 44,-,21.4,16.1,53.7,28.5,79.5
401-500,Novosibirsk State UniversityRussian Federation,7131,7.1,13%,52 : 48,-,41.4,30.8,26.2,38.2,32.4
401-500,The Open UniversityUnited Kingdom,76683,35.9,9%,61 : 39,-,21,13.8,60.3,28.4,51.5
401-500,Oxford Brookes UniversityUnited Kingdom,14238,18.5,25%,57 : 43,-,25.7,18.8,42.7,28.4,68.9
401-500,University of PalermoItaly,43875,22.4,1%,60 : 40,-,15.3,9.1,77.4,28,23.6
401-500,University of ParmaItaly,26937,29.1,7%,56 : 44,-,17.7,16.6,56.4,37.1,36.8
401-500,University of PisaItaly,47247,18,3%,52 : 48,-,21.6,18.9,64.5,31.4,31.1
401-500,Polytechnic University of CataloniaSpain,22893,11.7,28%,12 : 88,-,25.2,14.8,44.7,40.9,63.9
401-500,Pontifical Catholic University of ChileChile,25075,15.3,7%,n/a,-,28.2,21.3,37,28,52.4
401-500,University of PortoPortugal,32720,18.8,9%,54 : 46,-,32,28.2,37.2,38.7,45.4
401-500,University of PortsmouthUnited KingdomExplore,20161,19.1,23%,45 : 55,-,17.2,10.9,58.2,28.9,79.3
401-500,RMIT UniversityAustraliaExplore,29501,18.1,24%,47 : 53,-,24.7,17.7,44.6,37,82.1
401-500,University of Rome II – Tor VergataItaly,33504,26.5,6%,52 : 48,-,23.5,17.2,64.5,34.7,36.5
401-500,University of Rovira i VirgiliSpain,12533,12.8,9%,61 : 39,-,20.8,14.8,66.9,30.9,41.5
401-500,Saint Petersburg State UniversityRussian Federation,20836,5.2,7%,60 : 40,-,47.9,31.4,14.5,29.5,33
401-500,University of SalentoItaly,19959,58.4,1%,64 : 36,-,29.6,13.2,53,36.2,24.5
401-500,University of San FranciscoUnited States,10788,17,17%,63 : 37,-,34.2,12.9,43.8,28.6,40.1
401-500,University of SaskatchewanCanada,19028,16.3,14%,57 : 43,-,30.8,22.4,39.7,62.9,52.9
401-500,Sharif University of TechnologyIran,10977,18.7,n/a,27 : 73,-,26.6,30.1,33.7,87.8,15.9
401-500,University of SienaItaly,18846,23.6,5%,59 : 41,-,23.7,17.8,45.2,33.2,39
401-500,Southern Cross UniversityAustralia,9026,32.8,15%,66 : 34,-,18.9,18.3,53.3,37.7,52.7
401-500,State University of New York AlbanyUnited States,15387,18.5,8%,51 : 49,-,25.6,35.3,35.5,28,31.4
401-500,University of StrathclydeUnited Kingdom,15705,20.2,20%,50 : 50,-,25.9,28,31.8,44.1,71
401-500,University of TampereFinlandExplore,10045,9.5,4%,66 : 34,-,23.5,13.7,63.7,40,41.9
401-500,Boğaziçi UniversityTurkey,11506,25,7%,50 : 50,-,21.9,19.2,45.4,57.1,38.3
401-500,Tampere University of TechnologyFinlandExplore,6147,15.5,13%,23 : 77,-,23.1,17.2,45.5,67.5,54
401-500,Tokyo Medical and Dental University (TMDU)Japan,2872,3.3,7%,51 : 49,-,39.3,18.3,36.6,59.5,23.1
401-500,Tokyo Metropolitan UniversityJapanExplore,9303,9.9,3%,35 : 65,-,21.6,11.4,72.2,30.9,19.9
401-500,University of TsukubaJapan,15930,12.6,16%,38 : 62,-,40,30,33.7,42.9,34.4
401-500,University of UlsanSouth Korea,14037,13.3,3%,n/a,-,19.5,20.5,54,64.7,18.6
401-500,Ulster UniversityUnited Kingdom,19622,15.8,15%,55 : 45,-,19.1,13.2,44.1,29.2,79
