
 =133,Case Western Reserve UniversityUnited States,55.3,46.1,33.2,92,34.1,40.5
 =133,University of LeedsUnited Kingdom,55.3,43.7,39,79.2,36.7,77.4
135,University of OsloNorway,55.1,43.3,44.7,75.5,38.3,68.2
136,Stockholm UniversitySweden,54.8,34.1,51.2,82.5,31.1,48.5
137,University of AlbertaCanada,54.7,46.4,48.1,63.6,47.4,80.7
 =138,Chinese University of Hong KongHong Kong,54.5,41.5,48.5,68.4,37.5,81.1
 =138,Karlsruhe Institute of TechnologyGermany,54.5,37.7,47.5,73.8,99.5,56.7
140,University of SussexUnited Kingdom,54.4,33.4,37.2,86.1,30.6,88.3
141,University of MassachusettsUnited States,54.3,40.2,36.3,88.1,52.2,48.9
142,University of ViennaAustria,54.2,40.8,50.5,63.6,30.2,92.6
143,University of NottinghamUnited Kingdom,54.1,40.3,39,77.5,39.8,80.6
 =144,"University of California, Santa CruzUnited States",53.9,31.1,34.2,99.9,36.1,45.6
 =144,University of LausanneSwitzerland,53.9,30.9,45.6,76.2,56,89.2
146,Autonomous University of BarcelonaSpain,53.8,40.3,40,83.8,34.9,50.3
147,University of VirginiaUnited States,53.3,38.8,37.5,87.3,37.9,43.4
148,Korea Advanced Institute of Science and Technology (KAIST)South Korea,53,43.3,40.5,75.9,100,33.9
 =149,University of AdelaideAustralia,52.9,32.8,43.2,72.4,79.3,85.1
 =149,University of East AngliaUnited Kingdom,52.9,31.9,28.7,92.7,28.5,83.5
 =149,University of TwenteNetherlands,52.9,34.1,45.6,68.8,91.2,80.1
153,Sungkyunkwan University (SKKU)South Korea,52.8,51.4,53.5,53.8,97.5,36.7
154,Vrije Universiteit AmsterdamNetherlands,52.5,28.4,37.1,90.7,60.1,54.9
155,KTH Royal Institute of TechnologySweden,52.4,39,44.3,63.9,78.1,84.4
156,University of CologneGermany,52.3,42.2,38,75,68.5,53.1
157,University of LiverpoolUnited Kingdom,52.2,32.8,30.9,85.9,36.6,85.4
 =158,TU DresdenGermany,52.1,41.4,45.8,66.1,99.7,47.7
 =158,University of RochesterUnited States,52.1,39.7,27.9,89,37,55.8
 =161,Lomonosov Moscow State UniversityRussian Federation,51.9,75.4,66.7,8.6,95.7,57.8
 =161,University of MiamiUnited States,51.9,41.7,22.3,90.1,35.5,64
163,University of ArizonaUnited States,51.7,38.7,41.8,79.5,32.4,38.6
 =164,Pompeu Fabra UniversitySpain,51.2,32.9,28,90.7,37.2,63.3
 =164,University of ReadingUnited Kingdom,51.2,39.3,37.3,69.9,34.2,85.1
 =164,Yeshiva UniversityUnited States,51.2,44.8,23.7,92.8,-,28.5
 =167,"University of California, RiversideUnited States",51.1,27.5,33.3,91.2,42.5,59.5
 =167,University of LeicesterUnited Kingdom,51.1,32.1,27.8,86,31.7,86.6
 =167,National Taiwan UniversityTaiwan,51.1,54.1,58,47.3,49.6,27.7
 =167,Technical University of DenmarkDenmark,51.1,37.3,29.9,77.8,50,85.1
 =167,Université Catholique de LouvainBelgium,51.1,38.7,40.6,68.4,51,74.2
 =172,University of AberdeenUnited Kingdom,51,29.7,31.4,82.6,43.1,91.4
 =172,University of AucklandNew Zealand,51,31.4,39.5,69.8,78,90.5
174,University of BarcelonaSpain,50.9,38.5,37.4,78.9,31.1,49.2
175,University of KonstanzGermany,50.8,38.5,46.7,61.9,92.4,58.3
 =176,Eindhoven University of TechnologyNetherlands,50.6,34.3,41,70.7,57.3,71.3
 =176,University College DublinIreland,50.6,35,38.5,70.8,33.5,86.3
178,Hebrew University of JerusalemIsrael,50.5,45.8,41.4,64.6,31.9,55.6
179,University of WaterlooCanada,50.3,35.4,43.9,66.5,39.5,74.4
 =180,University of GothenburgSweden,50.2,28.5,39.8,81.8,30.3,58.3
 =180,Scuola Superiore Sant’AnnaItaly,50.2,42.5,23.2,84.5,71.2,45.2
 =182,University of BergenNorway,50.1,32.5,31.5,82.4,36.2,70
 =182,Cardiff UniversityUnited Kingdom,50.1,30.9,31.6,82,34.6,78.1
 =182,University of UtahUnited States,50.1,35.6,35.3,83.7,57.4,30.1
 =185,Brandeis UniversityUnited States,49.9,28.3,25.7,97.3,38.6,47
 =185,University of DundeeUnited Kingdom,49.9,25.6,26.9,90.2,49.5,78.5
 =185,University of WürzburgGermany,49.9,34.6,35.8,79.1,47.9,50.9
188,Paris-Sud UniversityFrance,49.8,38.7,29,79.8,28.8,64.2
189,Arizona State UniversityUnited States,49.7,32.4,38.1,84.6,32,31.9
 =190,University of AntwerpBelgium,49.6,31.6,40.8,71.7,60.3,64.8
 =190,Boston CollegeUnited States,49.6,34.1,29.3,83.3,46.8,60
192,Ulm UniversityGermany,49.5,35.2,23.9,86.4,58.4,58.2
 =193,University of LuxembourgLuxembourg,49.4,25,26.7,84.8,38.1,99.8
 =193,Texas A&M UniversityUnited States,49.4,49.4,52.4,47.1,46.4,47.8
195,Charité - Universitätsmedizin BerlinGermany,49.3,37.3,22.2,83.8,68.4,61.1
 =196,Newcastle UniversityUnited Kingdom,49.2,30.9,27.5,81.5,34.7,84.3
 =196,"St George’s, University of LondonUnited Kingdom",49.2,25.6,18.1,100,37.7,69.5
198,University of TrentoItaly,49.1,30.8,27.4,87.7,47.1,55.9
199,Paris Diderot University – Paris 7France,48.9,30.5,22.9,91,29,64.9
200,Queen’s University BelfastUnited Kingdom,48.8,34.1,33.3,68.9,35.7,93.4
201-250,Aalborg UniversityDenmark,-,25.1,28.4,73.8,43.7,71
201-250,"Birkbeck, University of LondonUnited Kingdom",-,33.5,35.1,66.3,28.5,89.9
201-250,University of BolognaItaly,-,39.3,29.5,73,34.5,39.9
201-250,University at BuffaloUnited States,-,36.5,37.9,62,43.8,60.6
201-250,University of CalgaryCanada,-,33.9,36.7,67.8,52,70.1
201-250,Chalmers University of TechnologySweden,-,36.6,35.3,52.2,79.5,77.6
201-250,City University of Hong KongHong Kong,-,32.1,26.7,76.8,50.1,81.6
201-250,Copenhagen Business SchoolDenmark,-,19.3,26.5,79.4,35.3,88.5
201-250,Dalhousie UniversityCanada,-,30.4,29.4,65.2,50.3,78.3
201-250,University of São PauloBrazil,-,60.9,68.6,20.4,40.3,25.3
201-250,University of Duisburg-EssenGermany,-,32.3,27,81.3,82.3,48.5
201-250,École Normale Supérieure de LyonFrance,-,41.6,30,69,31.7,65.6
201-250,Florida State UniversityUnited States,-,38.5,40.1,64.7,32,41.6
201-250,University of FribourgSwitzerland,-,32.3,32.9,64.1,60.8,87.4
201-250,Fudan UniversityChina,-,44.7,30.4,61.1,28,38.6
201-250,University of IcelandIceland,-,16.8,27.1,91.4,58.8,61
201-250,George Washington UniversityUnited States,-,44.7,23.5,65.7,29.5,48.1
201-250,Goethe University FrankfurtGermany,-,35.8,28.6,79.3,38.1,60.2
201-250,University of Hawai’i at MānoaUnited States,-,32,35.5,67.7,44.7,63.4
201-250,Hong Kong Polytechnic UniversityHong Kong,-,29.3,35.2,63.3,45.1,79
201-250,University of Illinois at ChicagoUnited States,-,40.9,29.2,63.2,38,58.1
201-250,Indiana UniversityUnited States,-,43,27.3,74.8,-,41.2
201-250,University of IowaUnited States,-,41,26.7,73.5,54.1,32.3
201-250,"University of Technology, SydneyAustralia",-,27.2,35.4,66.9,43.4,90.1
201-250,Johannes Gutenberg University of MainzGermany,-,34.9,21.7,72.6,70.7,53.3
201-250,Joseph Fourier UniversityFrance,-,34.2,21.6,83.2,31.6,58.6
201-250,University of KielGermany,-,32.3,20.5,89.5,-,49.4
201-250,Laval UniversityCanada,-,37.5,31.7,62.2,57.5,63.8
201-250,Medical University of ViennaAustria,-,26.6,14.6,89.1,33.9,81.7
201-250,Northeastern UniversityUnited States,-,35.5,20.6,84,32.9,58.7
201-250,Oregon Health and Science UniversityUnited States,-,27.8,15.7,96,44.6,21.4
201-250,University of OtagoNew Zealand,-,30.7,30.5,74.9,31.5,89.9
201-250,University of OttawaCanada,-,37.1,36.7,61.5,41.5,69.9
201-250,Paris Descartes UniversityFrance,-,24.6,28.8,83.3,29,49.1
201-250,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,-,30.8,17.8,97.4,42.5,29.6
201-250,Polytechnic University of MilanItaly,-,30.1,31.7,76.3,66.3,48.8
201-250,Royal Veterinary CollegeUnited Kingdom,-,26,27.8,74.9,45.5,81.7
201-250,Rush UniversityUnited States,-,37.7,17.4,88.9,45.4,21.8
201-250,Sapienza University of RomeItaly,-,38,37.3,61.5,32.6,34.7
201-250,University of Science and Technology of ChinaChina,-,46.7,36.6,67.2,80.3,21.4
201-250,University of South FloridaUnited States,-,24.8,35.7,73.4,99.8,45.1
201-250,Stony Brook UniversityUnited States,-,32.6,22,83,33.4,53.2
