rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,country_int,continent_int
38,Karolinska Institute,7424,10.9,0.19,68,75.3,57.0,74.4,95.9,71.4,70.3,medium,Sweden,Europe,0.0,145.0,2.0
40,University of Hong Kong,18364,18.0,0.42,54,75.1,68.8,77.9,74.2,54.0,99.5,large,Hong Kong,Asia,0.0,63.0,1.0
41,Technical University of Munich,38689,54.4,0.23,34,73.5,60.3,71.2,88.4,100.0,66.8,large,Germany,Europe,0.0,118.0,2.0
42,McGill University,30940,13.3,0.26,57,73.2,63.4,70.8,84.7,39.8,87.5,large,Canada,North America,1.0,154.0,3.0
43,University of Wisconsin-Madison,38960,10.7,0.12,51,73.1,68.4,73.9,86.5,45.8,43.4,large,United States,North America,1.0,172.0,3.0
44,Hong Kong University of Science and Technology,10214,23.1,0.31,49,72.7,55.2,68.4,93.1,58.1,83.4,medium,Hong Kong,Asia,0.0,63.0,1.0
45,Heidelberg University,28876,23.2,0.17,55,72.3,63.6,62.2,94.2,56.0,64.7,large,Germany,Europe,0.0,118.0,2.0
46,The University of Tokyo,26000,6.7,0.1,49,72.2,79.5,85.2,63.7,52.7,32.2,large,Japan,Asia,0.0,69.0,1.0
47,KU Leuven,44412,37.1,0.15,50,71.8,54.2,70.9,88.7,99.9,68.3,large,Belgium,Europe,0.0,106.0,2.0
48,Australian National University,15986,19.3,0.35,52,71.6,52.7,72.0,85.5,61.1,94.3,large,Australia,Oceania,1.0,173.0,4.0
49,University of Texas at Austin,48561,17.1,0.1,51,71.4,60.9,68.3,95.7,48.2,36.7,large,United States,North America,1.0,172.0,3.0
50,Brown University,8898,10.7,0.2,49,70.8,63.8,57.9,96.7,34.1,59.0,medium,United States,North America,1.0,172.0,3.0
50,Washington University in St Louis,12600,7.5,0.17,49,70.8,60.8,59.7,99.4,36.9,52.1,medium,United States,North America,1.0,172.0,3.0
52,Nanyang Technological University,25499,16.3,0.31,48,70.5,49.5,63.0,90.7,94.0,95.9,large,Singapore,Asia,0.0,88.0,1.0
53,University of California Santa Barbara,23054,28.1,0.14,52,70.0,50.0,61.5,98.8,82.0,65.4,large,United States,North America,1.0,172.0,3.0
54,University of California Davis,37365,13.8,0.1,56,69.5,60.9,64.5,86.0,53.4,63.7,large,United States,North America,1.0,172.0,3.0
54,University of Manchester,35318,14.6,0.38,52,69.5,56.3,65.3,84.3,44.1,88.7,large,United Kingdom,Europe,1.0,148.0,2.0
56,University of Minnesota,60949,17.4,0.11,51,69.0,57.6,67.9,87.5,90.4,37.7,large,United States,North America,1.0,172.0,3.0
56,University of North Carolina at Chapel Hill,34684,9.7,0.08,56,69.0,57.9,61.8,96.7,39.2,41.5,large,United States,North America,1.0,172.0,3.0
58,Chinese University of Hong Kong,18072,17.3,0.31,53,68.5,57.0,64.4,80.6,56.8,86.6,large,Hong Kong,Asia,0.0,63.0,1.0
59,University of Amsterdam,23495,12.3,0.12,57,68.4,51.3,62.6,91.9,49.9,72.2,large,Netherlands,Europe,0.0,133.0,2.0
60,Purdue University,38770,17.4,0.23,42,68.2,62.3,68.9,73.4,63.5,69.9,large,United States,North America,1.0,172.0,3.0
61,University of Sydney,44553,21.6,0.32,57,67.8,50.2,63.1,85.9,67.9,84.6,large,Australia,Oceania,1.0,173.0,4.0
62,Humboldt University of Berlin,32172,56.5,0.17,49,67.4,61.9,67.1,76.1,38.6,65.6,large,Germany,Europe,0.0,118.0,2.0
63,Delft University of Technology,17057,19.6,0.27,28,67.3,53.4,72.0,68.5,99.8,88.5,large,Netherlands,Europe,0.0,133.0,2.0
64,Wageningen University & Research,12326,19.7,0.29,55,67.2,46.6,53.6,95.2,100.0,80.6,medium,Netherlands,Europe,0.0,133.0,2.0
65,University of Queensland,38968,35.7,0.26,55,67.0,47.6,59.4,87.8,76.2,88.8,large,Australia,Oceania,1.0,173.0,4.0
66,University of Southern California,38380,12.8,0.23,53,66.8,49.8,58.4,95.6,37.9,63.0,large,United States,North America,1.0,172.0,3.0
67,Leiden University,24825,18.2,0.12,57,66.0,44.6,63.2,87.8,78.8,70.5,large,Netherlands,Europe,0.0,133.0,2.0
68,Utrecht University,31522,15.2,0.07,59,65.8,45.5,63.1,89.9,72.6,59.6,large,Netherlands,Europe,0.0,133.0,2.0
69,University of Maryland College Park,31772,16.5,0.1,48,65.7,49.6,63.0,93.5,38.4,39.0,large,United States,North America,1.0,172.0,3.0
70,Boston University,24833,8.6,0.25,60,65.4,57.1,45.9,97.2,34.0,60.0,large,United States,North America,1.0,172.0,3.0
70,Ohio State University,53190,12.7,0.13,49,65.4,55.5,56.2,88.0,52.0,56.4,large,United States,North America,1.0,172.0,3.0
72,Erasmus University Rotterdam,22047,20.1,0.2,49,65.2,38.9,57.2,96.7,51.7,80.6,large,Netherlands,Europe,0.0,133.0,2.0
72,Paris Sciences & Lettres – PSL University,19978,10.1,0.25,49,65.2,57.0,52.0,85.0,48.2,76.7,large,France,Europe,0.0,116.0,2.0
74,Kyoto University,22481,8.7,0.08,24,64.9,71.8,78.6,50.9,93.8,28.8,large,Japan,Asia,0.0,69.0,1.0
74,Seoul National University,26470,12.6,0.11,49,64.9,69.3,71.2,60.6,79.8,34.1,large,South Korea,Asia,0.0,73.0,1.0
76,University of Bristol,19995,13.7,0.27,53,64.8,45.7,51.2,94.7,39.3,84.8,large,United Kingdom,Europe,1.0,148.0,2.0
77,Pennsylvania State University,45411,15.2,0.14,46,64.6,53.6,64.8,81.6,50.0,44.3,large,United States,North America,1.0,172.0,3.0
78,McMaster University,23693,24.7,0.15,52,63.4,45.6,48.8,89.9,89.8,78.1,large,Canada,North America,1.0,154.0,3.0
79,RWTH Aachen University,43721,57.7,0.18,32,63.3,53.4,62.4,72.8,99.7,56.4,large,Germany,Europe,0.0,118.0,2.0
80,University of Glasgow,23389,15.4,0.36,58,63.2,43.4,48.9,92.6,38.6,90.4,large,United Kingdom,Europe,1.0,148.0,2.0
80,Monash University,46846,33.7,0.28,57,63.2,47.4,55.4,80.9,71.5,83.8,large,Australia,Oceania,1.0,173.0,4.0
82,University of Freiburg,20871,40.3,0.19,57,62.9,47.1,54.3,83.1,100.0,67.2,large,Germany,Europe,0.0,118.0,2.0
83,University of Groningen,26197,24.1,0.17,52,62.8,40.7,54.8,89.0,77.2,74.4,large,Netherlands,Europe,0.0,133.0,2.0
83,Michigan State University,44556,17.0,0.17,51,62.8,55.1,53.3,82.6,35.7,61.2,large,United States,North America,1.0,172.0,3.0
85,University of New South Wales,40133,26.7,0.34,46,62.5,40.9,57.5,82.8,49.8,91.4,large,Australia,Oceania,1.0,173.0,4.0
86,Rice University,6441,9.0,0.28,43,62.2,45.1,41.9,98.7,42.4,72.7,medium,United States,North America,1.0,172.0,3.0
86,Uppsala University,25174,17.3,0.11,57,62.2,42.9,56.1,84.6,79.5,68.8,large,Sweden,Europe,0.0,145.0,2.0
88,Free University of Berlin,34114,57.0,0.21,59,62.1,58.7,66.5,60.6,39.8,71.8,large,Germany,Europe,0.0,118.0,2.0
89,Dartmouth College,6100,6.6,0.15,47,62.0,58.5,41.9,93.4,37.9,39.1,medium,United States,North America,1.0,172.0,3.0
90,University of Helsinki,22532,16.2,0.06,65,61.7,45.7,56.6,86.9,35.5,53.3,large,Finland,Europe,0.0,115.0,2.0
91,University of Warwick,18424,13.0,0.39,48,61.6,46.6,52.0,80.4,41.0,91.9,large,United Kingdom,Europe,1.0,148.0,2.0
92,Technical University of Berlin,22390,64.3,0.2,34,61.5,49.0,58.0,74.2,97.8,62.4,large,Germany,Europe,0.0,118.0,2.0
93,Lund University,28663,12.1,0.16,55,61.3,40.8,52.6,85.9,70.9,76.1,large,Sweden,Europe,0.0,145.0,2.0
94,University of Tübingen,27844,38.5,0.13,59,61.2,45.7,55.4,83.0,55.4,60.8,large,Germany,Europe,0.0,118.0,2.0
95,University of Basel,12729,17.7,0.27,55,60.9,39.8,39.9,91.0,99.9,95.9,medium,Switzerland,Europe,0.0,146.0,2.0
95,Korea Advanced Institute of Science and Technology (KAIST),9464,10.6,0.09,20,60.9,56.3,59.2,70.4,100.0,35.6,medium,South Korea,Asia,0.0,73.0,1.0
97,Durham University,16310,14.9,0.29,54,60.8,44.8,47.9,84.6,36.8,89.0,large,United Kingdom,Europe,1.0,148.0,2.0
98,Emory University,12649,4.4,0.19,57,60.7,47.1,40.4,98.1,42.3,53.3,medium,United States,North America,1.0,172.0,3.0
99,University of California Irvine,30419,17.0,0.21,52,60.6,43.4,44.9,93.6,43.9,65.2,large,United States,North America,1.0,172.0,3.0
100,University of Bonn,35619,77.9,0.13,55,60.5,47.3,41.6,91.3,83.5,58.4,large,Germany,Europe,0.0,118.0,2.0
100,University of Colorado Boulder,30780,16.3,0.1,44,60.5,44.8,45.8,97.4,37.5,42.4,large,United States,North America,1.0,172.0,3.0
100,University of Pittsburgh,26367,5.9,0.1,52,60.5,45.7,48.7,94.9,39.9,36.8,large,United States,North America,1.0,172.0,3.0
103,Maastricht University,16727,18.0,0.5,58,60.4,40.2,49.7,79.9,87.6,96.7,large,Netherlands,Europe,0.0,133.0,2.0
104,University of Sheffield,24581,14.9,0.36,50,60.1,42.9,45.7,86.8,43.7,85.4,large,United Kingdom,Europe,1.0,148.0,2.0
105,University of Bern,10449,16.5,0.15,56,60.0,42.7,43.6,85.4,81.0,85.7,medium,Switzerland,Europe,0.0,146.0,2.0
105,Vanderbilt University,12011,3.3,0.13,53,60.0,47.7,41.4,96.9,52.8,38.9,medium,United States,North America,1.0,172.0,3.0
107,Ghent University,35909,35.9,0.1,53,59.8,44.4,56.2,77.6,84.3,56.8,large,Belgium,Europe,0.0,106.0,2.0
108,University of Montreal,41017,21.9,0.22,55,59.6,44.5,48.9,79.0,65.3,83.2,large,Canada,North America,1.0,154.0,3.0
