rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
125,Radboud University Nijmegen,17713,13.0,0.1,58,55.9,34.3,48.5,84.9,39.2,60.9,large,Netherlands,Europe,0.0,2.0,133.0,2.0
127,University of Colorado Boulder,29325,16.1,0.08,45,55.8,39.7,37.6,96.4,35.7,36.6,large,United States,North America,1.0,2.0,172.0,3.0
127,Tufts University,10410,10.0,0.14,54,55.8,45.2,33.3,90.1,60.7,49.4,medium,United States,North America,1.0,1.0,172.0,3.0
129,Royal Holloway,8747,15.9,0.37,57,55.7,35.1,33.2,91.2,34.4,92.7,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
130,Lancaster University,11512,14.9,0.33,52,55.6,34.0,41.4,85.3,33.6,87.0,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
131,University of Geneva,15668,15.0,0.39,61,55.4,34.9,40.5,78.5,72.4,98.5,large,Switzerland,Europe,0.0,2.0,146.0,2.0
131,University of York,14543,15.8,0.26,55,55.4,41.9,46.3,73.1,31.1,83.5,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
133,Case Western Reserve University,9259,6.4,0.17,48,55.3,46.1,33.2,92.0,34.1,40.5,medium,United States,North America,1.0,1.0,172.0,3.0
133,University of Leeds,27703,14.7,0.21,58,55.3,43.7,39.0,79.2,36.7,77.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
135,University of Oslo,27139,18.8,0.18,57,55.1,43.3,44.7,75.5,38.3,68.2,large,Norway,Europe,0.0,2.0,135.0,2.0
136,Stockholm University,31715,23.7,0.08,62,54.8,34.1,51.2,82.5,31.1,48.5,large,Sweden,Europe,0.0,2.0,145.0,2.0
137,University of Alberta,36299,21.6,0.23,55,54.7,46.4,48.1,63.6,47.4,80.7,large,Canada,North America,1.0,2.0,154.0,3.0
138,Chinese University of Hong Kong,17916,10.2,0.22,53,54.5,41.5,48.5,68.4,37.5,81.1,large,Hong Kong,Asia,0.0,2.0,63.0,1.0
138,Karlsruhe Institute of Technology,25294,24.6,0.16,26,54.5,37.7,47.5,73.8,99.5,56.7,large,Germany,Europe,0.0,2.0,118.0,2.0
140,University of Sussex,12001,17.4,0.35,54,54.4,33.4,37.2,86.1,30.6,88.3,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
